"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"07/08/2020","2.054,35","2.071,05","2.072,75","2.044,80","-","-0,20%"
"06/08/2020","2.058,40","2.042,60","2.070,00","2.037,20","18,31K","1,05%"
"05/08/2020","2.037,10","2.024,70","2.057,50","2.015,50","24,46K","1,42%"
"04/08/2020","2.008,50","1.981,70","2.025,00","1.971,00","17,11K","1,71%"
"03/08/2020","1.974,70","1.985,20","1.997,00","1.963,50","11,86K","0,04%"
"31/07/2020","1.973,90","1.961,00","1.992,40","1.960,00","14,53K","0,96%"
"30/07/2020","1.955,20","1.974,30","1.976,00","1.941,70","21,32K","-0,51%"
"29/07/2020","1.965,30","1.960,10","1.986,40","1.945,10","23,27K","0,64%"
"28/07/2020","1.952,80","1.948,10","1.985,90","1.912,20","30,15K","1,13%"
"27/07/2020","1.931,00","1.901,20","1.941,90","1.899,00","428,23K","1,77%"
"24/07/2020","1.897,50","1.884,90","1.904,60","1.880,50","300,17K","0,40%"
"23/07/2020","1.890,00","1.871,60","1.897,70","1.863,10","418,75K","1,34%"
"22/07/2020","1.865,10","1.842,80","1.871,80","1.842,10","382,23K","1,15%"
"21/07/2020","1.843,90","1.819,60","1.844,90","1.817,20","271,09K","1,46%"
"20/07/2020","1.817,40","1.812,30","1.823,40","1.806,60","177,74K","0,41%"
"17/07/2020","1.810,00","1.796,90","1.813,90","1.795,20","167,01K","0,54%"
"16/07/2020","1.800,30","1.813,10","1.816,20","1.794,10","196,57K","-0,74%"
"15/07/2020","1.813,80","1.811,10","1.819,50","1.804,00","183,06K","0,02%"
"14/07/2020","1.813,40","1.805,20","1.815,00","1.791,10","253,21K","-0,04%"
"13/07/2020","1.814,10","1.803,40","1.818,80","1.802,10","230,40K","0,68%"
"10/07/2020","1.801,90","1.808,40","1.817,00","1.796,50","223,83K","-0,11%"
"09/07/2020","1.803,80","1.818,80","1.825,50","1.799,60","283,37K","-0,92%"
"08/07/2020","1.820,60","1.807,90","1.829,80","1.803,80","247,50K","0,59%"
"07/07/2020","1.809,90","1.793,90","1.810,80","1.781,20","221,73K","0,91%"
"06/07/2020","1.793,50","1.787,90","1.799,00","1.779,20","184,65K","0,33%"
"03/07/2020","1.787,60","1.786,90","1.788,70","1.783,65","-","-0,13%"
"02/07/2020","1.790,00","1.779,00","1.791,70","1.766,30","186,31K","0,57%"
"01/07/2020","1.779,90","1.798,90","1.807,70","1.767,90","263,25K","-1,14%"
"30/06/2020","1.800,50","1.784,20","1.804,00","1.774,80","199,42K","1,08%"
"29/06/2020","1.781,20","1.789,20","1.790,40","1.776,50","130,51K","0,05%"
"26/06/2020","1.780,30","1.774,80","1.786,20","1.754,00","201,23K","0,55%"
"25/06/2020","1.770,60","1.772,30","1.779,60","1.764,10","152,20K","-0,25%"
"24/06/2020","1.775,10","1.784,40","1.796,10","1.770,60","239,53K","-0,39%"
"23/06/2020","1.782,00","1.764,90","1.786,80","1.758,30","194,68K","0,88%"
"22/06/2020","1.766,40","1.765,80","1.779,00","1.753,50","228,68K","0,76%"
"19/06/2020","1.753,00","1.729,80","1.760,90","1.728,30","181,15K","1,27%"
"18/06/2020","1.731,10","1.735,50","1.749,20","1.722,70","155,91K","-0,26%"
"17/06/2020","1.735,60","1.735,30","1.739,30","1.717,30","140,07K","-0,05%"
"16/06/2020","1.736,50","1.732,30","1.741,30","1.721,80","182,42K","0,54%"
"15/06/2020","1.727,20","1.740,70","1.743,80","1.706,20","200,23K","-0,58%"
"12/06/2020","1.737,30","1.733,60","1.753,00","1.728,20","151,40K","-0,14%"
"11/06/2020","1.739,80","1.746,60","1.754,90","1.727,50","205,35K","1,11%"
"10/06/2020","1.720,70","1.718,90","1.749,40","1.714,10","198,76K","-0,07%"
"09/06/2020","1.721,90","1.703,90","1.729,40","1.697,60","182,91K","0,99%"
"08/06/2020","1.705,10","1.686,70","1.707,60","1.680,70","154,77K","1,31%"
"05/06/2020","1.683,00","1.720,80","1.723,20","1.671,70","273,68K","-2,57%"
"04/06/2020","1.727,40","1.702,80","1.729,00","1.698,90","198,72K","1,33%"
"03/06/2020","1.704,80","1.733,70","1.738,90","1.690,30","256,52K","-1,68%"
"02/06/2020","1.734,00","1.750,30","1.757,00","1.728,00","175,35K","-0,93%"
"01/06/2020","1.750,30","1.749,80","1.761,00","1.737,60","146,13K","-0,08%"
"29/05/2020","1.751,70","1.732,70","1.754,50","1.725,30","150,11K","1,35%"
"28/05/2020","1.728,30","1.725,00","1.743,70","1.720,00","164,82K","0,09%"
"27/05/2020","1.726,80","1.724,10","1.729,10","1.701,60","158,95K","-0,08%"
"26/05/2020","1.728,20","1.753,00","1.755,60","1.721,20","152,50K","0,07%"
"25/05/2020","1.727,00","1.730,55","1.731,35","1.719,25","-","-0,21%"
"24/05/2020","1.730,65","1.735,45","1.735,90","1.729,80","-","-0,28%"
